Tools,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820672,1696194877.868840897,1,OK,146.2148750,-72.5617350,-144.5516663,65.976,-116.874,-1281.477,0.1475115,4,OK,65.934,-116.736,-1281.526,OK,17.463,-119.529,-1293.654,OK,-30.887,-97.257,-1310.197,OK,-64.618,-148.179,-1310.108
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820675,1696194877.918840897,1,OK,146.4116147,-72.6646958,-144.7290930,66.088,-116.936,-1281.516,0.1467986,4,OK,66.048,-116.797,-1281.556,OK,17.563,-119.595,-1293.663,OK,-30.816,-97.317,-1310.103,OK,-64.516,-148.249,-1310.071
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820678,1696194877.968840897,1,OK,146.6003919,-72.6631607,-144.8907286,66.078,-116.988,-1281.415,0.1501146,4,OK,66.038,-116.848,-1281.462,OK,17.556,-119.670,-1293.576,OK,-30.820,-97.406,-1310.038,OK,-64.493,-148.361,-1310.057
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820681,1696194878.018840897,1,OK,146.4850148,-72.7149388,-144.7995850,66.170,-117.042,-1281.310,0.1460466,4,OK,66.128,-116.902,-1281.346,OK,17.646,-119.697,-1293.443,OK,-30.751,-97.409,-1309.829,OK,-64.451,-148.348,-1309.820
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820684,1696194878.068840897,1,OK,146.5312256,-72.7452893,-144.8005110,66.173,-117.139,-1281.174,0.1476898,4,OK,66.127,-117.001,-1281.209,OK,17.641,-119.833,-1293.287,OK,-30.774,-97.570,-1309.644,OK,-64.426,-148.541,-1309.633
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820687,1696194878.118840897,1,OK,146.4963109,-72.7598767,-144.8183942,66.135,-117.140,-1281.066,0.1518576,4,OK,66.085,-116.997,-1281.102,OK,17.597,-119.793,-1293.174,OK,-30.796,-97.479,-1309.516,OK,-64.496,-148.414,-1309.511
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820690,1696194878.168840897,1,OK,146.5814045,-72.7835352,-144.8826122,66.174,-117.193,-1280.980,0.1513345,4,OK,66.127,-117.050,-1281.013,OK,17.634,-119.858,-1293.085,OK,-30.771,-97.560,-1309.402,OK,-64.452,-148.506,-1309.419
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820693,1696194878.218840897,1,OK,146.8004558,-72.8389455,-145.0106429,66.116,-117.276,-1280.971,0.1500297,4,OK,66.066,-117.135,-1280.989,OK,17.576,-120.007,-1293.084,OK,-30.876,-97.776,-1309.324,OK,-64.465,-148.777,-1309.379
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820696,1696194878.268840897,1,OK,146.8591205,-72.7923846,-145.1516833,66.117,-117.322,-1280.936,0.1484839,4,OK,66.076,-117.181,-1280.970,OK,17.589,-119.983,-1293.070,OK,-30.813,-97.684,-1309.396,OK,-64.490,-148.655,-1309.499
1,Port 0x01: seife seife-3dcc4401-1  s/n:3DCC4401,1419820699,1696194878.318840897,1,OK,146.8961024,-72.8963408,-145.1314958,66.227,-117.440,-1280.898,0.1493488,4,OK,66.176,-117.299,-1280.938,OK,17.685,-120.138,-1292.952,OK,-30.770,-97.879,-1309.189,OK,-64.384,-148.867,-1309.284
